raw,processed,predict
"Admin saya mau kasih saran dan masukan kenapa sih untuk aktivasi akun sakuku plus enggak langsung Video call aja terus sambil memegang Foto KTP kan saya jadi cepat aktif akun saya dan bisa langsung di pakai transaksi dan belanja online kalau untuk mengaktifkannya datang kecabangan bank BCAnya belum tentu CS bisa mengaktifkan, Coba deh ide dan masukan saya ini di coba dipakai pada aplikasi sakuku plusnya min dan biar cepat banyak pelanggan dan banyak yang download,",admin saran masukan untuk aktivasi akun sakuku plus langsung video call terus memegang foto ktp jadi cepat aktif akun langsung pakai transaksi belanja onlen untuk mengaktifkannya datang kecabangan bank bcanya cs mengaktifkan coba deh ide masukan coba dipakai aplikasi sakuku plusnya min cepat pelanggan download,-1
"Admin saya mau kasih saran dan masukan kenapa sih untuk aktivasi akun sakuku plus enggak langsung Video call aja terus sambil memegang Foto KTP kan saya jadi cepat aktif akun saya dan bisa langsung di pakai transaksi dan belanja online kalau untuk mengaktifkannya datang kecabangan bank BCAnya belum tentu CS bisa mengaktifkan, Coba deh ide dan masukan saya ini di coba dipakai pada aplikasi sakuku plusnya min dan biar cepat banyak pelanggan dan banyak yang download,",admin saran masukan untuk aktivasi akun sakuku plus langsung video call terus memegang foto ktp jadi cepat aktif akun langsung pakai transaksi belanja onlen untuk mengaktifkannya datang kecabangan bank bcanya cs mengaktifkan coba deh ide masukan coba dipakai aplikasi sakuku plusnya min cepat pelanggan download,-1
"Aplikasi sakuku merugikan customer BCA, mau registrasi ulang di HP baru malah tidak bisa terima sms dan notifikasi dari aplikasinya. Penjelasan dari customer care 1500888 juga tidak membantu kebanyakan menunggunya sampai pulsa habis 50rb buat tlp saja. Semoga cepat dibenarkan bug atau crash nya atau otorisasi untuk no HP nya. Terimakasih",aplikasi sakuku merugikan customer baca registrasi ulang handphone terima sms notifikasi aplikasinya penjelasan customer care membantu kebanyakan menunggunya pulsa habis ribu telepon semoga cepat dibenarkan bug crash otorisasi untuk no handphone terimakasih,-1
"aplikasinya cepat & mudah digunakan, hanya promo masih harus diperbanyak spt fintec2 yg lain; OVO, GOPAY, DANA, dll ,",aplikasinya cepat mudah digunakan promo diperbanyak fintec ovo gopay dana dan lain-lain,-1
Saya baru coba. Transaksi cepat dan mudah. Semoga cepet bonus kuota 2 gb nya masuk ke no.saya seperti di sms yg dikirim ke saya. Ditunggu lho!,coba transaksi cepat mudah semoga cepat bonus kuota gb masuk no sms dikirim ditunggu lho,-1
"Anak saya yg tinggal diasrama selalu mendadak minta di belikan pulsa smntra saya dalam perjalanan jd gk bisa mampir ke kios pnjual plsa, dengan sakuku sy merasa terbantu dalam pembelian pulsa lewat sakuku, prosesnya gampang dan jg cepat shingga kebutuhan pulsa anak saya bisa dengan cepat terpenuhi, tksih sakuku...tksih BCA.",anak tinggal diasrama mendadak meminta belikan pulsa smntra perjalanan jadi gak mampir kios penjual pulsa sakuku merasa terbantu pembelian pulsa lewat sakuku prosesnya gampang cepat shingga kebutuhan pulsa anak cepat terpenuhi tksih sakuku tksih baca,-1
"Sayangnya transfer, bayar tagihan dan tarik tunai belum aktif. Semoga BCA cepat mengaktifkannya",sayangnya transfer bayar tagihan tarik tunai aktif semoga baca cepat mengaktifkannya,-1
